Project ID,Project Name,Submitting Team,Owner,Current Stage,Priority,Status,Intake Date,Target Deployment Date,Last Update Date,Days In Current Stage,SteerCo Review Flag
SWAT-1001,Capital Call Dashboard,Investor Services,Joshua W.,Build,Low,At Risk,2026-01-16,2026-03-21,2026-06-30,28,Yes
SWAT-1002,Investor Onboarding Automation Flow,Reporting,Jeffrey L.,Build,Medium,On Track,2026-01-28,2026-04-26,2026-06-30,25,No
SWAT-1003,Investor Query Portal,Investor Services,Susan R.,Testing,Low,On Track,2026-03-21,2026-06-08,2026-07-02,16,No
SWAT-1004,Expense Allocation Intake Form,Finance,Christopher D.,Intake,Low,On Track,2026-06-05,2026-10-01,2026-07-01,5,No
SWAT-1005,Capital Call Reconciliation App,Finance,Lisa S.,Governance,High,Delayed,2026-04-28,2026-07-05,2026-06-25,61,Yes
SWAT-1006,Fund Reporting Integration,Reporting,Christopher D.,Testing,Critical,On Track,2026-03-11,2026-07-07,2026-07-04,6,Yes
SWAT-1007,Deal Pipeline Reporting Tool,Investor Services,Matthew M.,Build,High,Delayed,2026-01-12,2026-04-03,2026-06-26,42,Yes
SWAT-1008,Portfolio Monitoring Reporting Tool,Technology,Linda W.,Build,Critical,At Risk,2026-03-25,2026-05-31,2026-06-23,27,Yes
SWAT-1009,Portfolio Monitoring Dashboard,Investor Services,Lisa S.,Governance,Low,Delayed,2026-02-09,2026-07-01,2026-06-30,46,Yes
SWAT-1010,Investor Query Reporting Tool,Investor Services,Jeffrey L.,Intake,High,On Track,2026-02-27,2026-06-18,2026-06-27,10,Yes
SWAT-1011,Deal Pipeline Data Pipeline,Reporting,Danielle J.,Governance,Low,Delayed,2026-05-07,2026-10-01,2026-06-24,49,Yes
SWAT-1012,Audit Prep Portal,Finance,Debra G.,Build,Medium,On Track,2026-06-14,2026-08-27,2026-06-26,22,No
SWAT-1013,Vendor Invoice Integration,Investor Services,Debra G.,Intake,Medium,On Track,2026-02-08,2026-06-12,2026-07-05,5,No
